package	old	newpkg	new	evidence
com.moonsworth.lunar.client.util.mixin	MixinHelper	com.moonsworth.lunar.client.util.collection	ElementAdder	fluent element-adder contract: default method1(T...) -> method2(Collection), both @Contract("_->this") returning the concrete builder via <B> B; base of ListBuilder (the old name collided with a dozen unrelated MixinHelper classes)
com.moonsworth.lunar.client.util.mixin	ListBuilder	com.moonsworth.lunar.client.util.collection	ListBuilder	fluent list builder: default method2(T...) -> method3(Collection) plus no-arg removal API; extended by ListBuilderImpl and its lazy variant
com.moonsworth.lunar.client.util.mixin	ListBuilderImpl	com.moonsworth.lunar.client.util.collection	ListBuilderImpl	ArrayList-backed ListBuilder (method2 addAll, method3 removeAll/removeIf, build(), method4 unmodifiableList) with static factories and nested LazyListBuilder (Supplier<L>, null until first add)
com.moonsworth.lunar.client.util.highlight	Highlight	com.moonsworth.lunar.client.util	AtomicFileWriter	static atomic text writer: mkdirs, write to "<name>.tmp", Files.move(REPLACE_EXISTING, ATOMIC_MOVE) with AtomicMoveNotSupportedException fallback; used by DungeonwaypointManager/Dungeonwaypoints for JSON files
com.moonsworth.lunar.client.util.highlight	CloseableImpl	com.moonsworth.lunar.client.util	DirectoryWatcher	Closeable WatchService wrapper: registers a Path for CREATE/DELETE/MODIFY/OVERFLOW, polls every second via BackgroundExecutor and feeds the event Consumer; close() cancels the future and the service; used by KillSounds
com.moonsworth.lunar.client.util.highlight	FilenameFilter	com.moonsworth.lunar.client.util	FileExtensionFilter	java.io.FilenameFilter matching FilenameUtils.getExtension against a Set<String>; factory method1("mp3","wav","ogg"); used by KillSounds and util/Coordinates
com.moonsworth.lunar.client.util.holograms	MapImpl	com.moonsworth.lunar.client.util.collection	CachedValuesMap	HashMap-backed Map whose values() is cached as an unmodifiable ArrayList until the next mutation; used by cosmetics AnimationJsonParser for boneAnimations
com.moonsworth.lunar.client.util.nameplate	Nameplate	com.moonsworth.lunar.client.util	ExtraCodecs	DataFixerUpper codec library (mirrors vanilla ExtraCodecs): JsonElement/Vector3f/Quaternionf/Matrix4f/Pattern/UUID codecs, orCompressed/withLifecycle helpers, String codec validators, nested TagOrElementLocation and StrictUnboundedMapCodec; used by config/option/KeyBind and tiertagger Gui2Extension
com.moonsworth.lunar.client.util.rewindhandlers	AnimatedColor	com.moonsworth.lunar.client.render.color	AnimatedColor	colour interface method1(float) -> ARGB plus default channel/HSB accessors; factory method11(int,ColorAnimation,int) and chroma default method12() (WAVE, red, 50); used by SkyblockDebugHud/SkyblockScathaTrackerHud
com.moonsworth.lunar.client.util.rewindhandlers	AnimatedColorImpl	com.moonsworth.lunar.client.render.color	AnimatedColorImpl	AnimatedColor impl wrapping a ColorAnimation (WAVE/SHIFT) + base colour + speed; method1 mirrors the coordinate by screen width+height and applies the animation function
com.moonsworth.lunar.client.util.rewindhandlers	Gui2Extension	com.moonsworth.lunar.client.render.color	ColorAnimation	enum WAVE("wave", PI_MOTION_EASE_IN_OUT_STROKE) / SHIFT("shift", PI_REPEAT_SQUARE_STROKE) implementing lighting.Gui2Extension; color() is BiFunction<Float,AnimatedColor,Integer> returning HSB chroma; option value in Fishing2Loader4 and CrosshairChildMod
com.moonsworth.lunar.client.util.rewindhandlers	MutableColor	com.moonsworth.lunar.client.render.color	MutableColor	interface extending RewindhandlersExtension + ColorMutator with default setRed/Green/Blue/Alpha and HSB setters built on getColor()/ColorUtils
com.moonsworth.lunar.client.util.rewindhandlers	Rewindhandlers	com.moonsworth.lunar.client.render.color	ColorMutator	abstract colour mutation contract: setColor + setRed/Green/Blue/Alpha (int and float) + HSB method14(float,float,float); no getters (the getter side is the jar-only RewindhandlersExtension)
com.moonsworth.lunar.client.util.rewindhandlers	SolidColor	com.moonsworth.lunar.client.render.color	SolidColor	constant ARGB color implementation (method1/getColor return the single int); built by the jar-only RewindhandlersExtension.method23(int)
