package	old	new	evidence
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl2	EventTick	client tick event: static int field1 is the global tick counter (Debug EVERY_TICK/EVERY_OTHER_TICK/EVERY_HALF_SECOND, field1%20); fired every tick from Rewindhandlers.method12(HighlightImpl2::new) and EntityRenderer4.bootstrap; handled by ~125 HUD/modules
com.moonsworth.lunar.client.highlight.mixin.fishing	Data8	EventChunkUnload	nested HighlightBase2$Data8: fired by ChunkLightingMixin on Chunk.onUnload$v1_12 with the chunk; Minimap.method7 removes the chunk from the map	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase2.java
com.moonsworth.lunar.client.highlight.mixin.fishing	Data9	EventChunkLoad	nested HighlightBase2$Data9: fired by ChunkLightingMixin.onLoad/onChunkLoad and ChunkProviderClientMixin.loadChunk with the chunk; Minimap.method6 enqueues it	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase2.java
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightBase3	EventRenderTick	abstract render-tick event base: holds the float partialTicks (method1()); base of Data5/Data6
com.moonsworth.lunar.client.highlight.mixin.fishing	Data5	EventRenderTickStart	nested HighlightBase3$Data5: fired by replaymod EntityRendererHandlerMixin at FMLCommonHandler.onRenderTickStart; Debug EVERY_FRAME, RewindHandlers/ShaderDebugMod consume it	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase3.java
com.moonsworth.lunar.client.highlight.mixin.fishing	Data6	EventRenderTickEnd	nested HighlightBase3$Data6: fired by replaymod EntityRendererHandlerMixin at FMLCommonHandler.onRenderTickEnd; Minimap/fog Highlight3Iterator/RewindHandlers consume it	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase3.java
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightBase4	EventWorld	abstract world event base: holds Itemcounter6 (=World) exposed as method1(); base of Data3/Data4
com.moonsworth.lunar.client.highlight.mixin.fishing	Data3	EventWorldChange	nested HighlightBase4$Data3: world/dimension change used to reset HUD state (SkyblockDungeonRoutes, Minimap.method9, TimeChanger, ~70 modules)	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase4.java
com.moonsworth.lunar.client.highlight.mixin.fishing	Data4	EventWorldLoad	nested HighlightBase4$Data4: world load variant consumed by Minimap (sets dimension) and KillSounds/KnockbackTrainer	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase4.java
com.moonsworth.lunar.client.highlight.mixin.fishing	Data3	EventRenderBlockOutlineModern	nested HighlightImpl17$Data3 (@VersionGate(min=6), Bridge5_16+Itemcounter_4 payload): modern block-outline selection event, handled by BlockOutline.method2	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightImpl17.java
com.moonsworth.lunar.client.highlight.mixin.fishing	Data4	EventRenderBlockOutlineLegacy	nested HighlightImpl17$Data4 (@VersionGate(max=5), GlStateManager+AABB payload): legacy block-outline selection event fired by RenderGlobalEntityOutlineMixin.lunar$drawSelectionBoundingBox, handled by BlockOutline.method2	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightImpl17.java
