# Mass-name cluster B: Nameplate (14/15 pkgs; util.nameplate done by namesA), Nameplate2* families (31), Gui2Extension (21/22; util.rewindhandlers done by namesA), GuiExtension (5), framework/nameplate leftovers (15)
# oldpkg	old	newpkg	new	evidence
com.moonsworth.lunar.client.replay.nameplate.mixin.colorsaturation	Nameplate2Impl	com.moonsworth.lunar.client.replay.nameplate.mixin.colorsaturation	TickMarkerPacket	tick-only packet with empty replay handler; RewindHandlers.method23 uses getTick() to seek and InputTimelinePanel splits the stream into per-tick segments (marker)
com.moonsworth.lunar.client.replay.nameplate.mixin.fishing	Nameplate2Impl	com.moonsworth.lunar.client.replay.nameplate.mixin.fishing	SnapshotEndPacket	no payload; method3 calls ReplayContext.method36(-1) clearing the state-refresh target tick; emitted last by RewindRecorder.method2 after all RecorderCapture snapshots
com.moonsworth.lunar.client.replay.nameplate.mixin.highlight	Nameplate2Impl	com.moonsworth.lunar.client.replay.nameplate.mixin.highlight	NoOpPacket	empty read/write and empty replay handler; used as the no-op inverse packet (e.g. returned by gui/Nameplate2Impl2.method4) and by RewindFileReader
com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	Nameplate2Impl	com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	AttackStrengthPacket	tick value replayed onto Player.bridge$setAttackStrengthTicker (and itemSwapTicker on MC>=35); recorded by PlayerStateRecorder
com.moonsworth.lunar.client.replay.nameplate.mixin.nameplate	Nameplate2Impl	com.moonsworth.lunar.client.replay.nameplate.mixin.nameplate	MessageSignaturePacket	byte[] serialized chat message-signature cache; replay calls NetHandlerPlayClient.bridge$deserializeMessageSignatureCache (MC>=15); recorded by MessageSignatureRecorder
com.moonsworth.lunar.client.replay.nameplate	Nameplate2Impl2	com.moonsworth.lunar.client.replay.nameplate	ProtobufMessagePacket	protobuf Any bytes: replayed via AssetServerClient.method2, or FogHandler2.method18 for Override/ConfigurableSettings; recorded from RewindRecorder.method1 (ApolloSettingsCapture and asset-server websocket messages)
com.moonsworth.lunar.client.replay.nameplate.mixin	Nameplate2Impl2	com.moonsworth.lunar.client.replay.nameplate.mixin	HypixelLocationPacket	JSON string deserialized to HypixelLocation and pushed to HypixelLocationListener; recorded by ScoreboardRecorder
com.moonsworth.lunar.client.replay.nameplate.mixin.fishing	Nameplate2Impl2	com.moonsworth.lunar.client.replay.nameplate.mixin.fishing	SnapshotStartPacket	boolean payload; emitted first by RewindRecorder.method2 before every RecorderCapture, sets ReplayContext.method36(current tick) as the state-refresh target when flagged
com.moonsworth.lunar.client.replay.nameplate.mixin.gui	Nameplate2Impl2	com.moonsworth.lunar.client.replay.nameplate.mixin.gui	CloseScreenPacket	clears the replay GUI screen (GuiScreenContext.method1(null)); inverse method4 reopens the stored screen
com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	Nameplate2Impl2	com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	UseItemOnBlockPacket	position/block fields; replay calls PlayerController.bridge$useItemOn; recorded by PlayerStateRecorder
com.moonsworth.lunar.client.replay.nameplate.mixin.nameplate	Nameplate2Impl2	com.moonsworth.lunar.client.replay.nameplate.mixin.nameplate	SetPausedPacket	paused boolean replayed into ReplayContext.method33(paused); method4 returns the inverted packet; recorded by PlayerStateRecorder
com.moonsworth.lunar.client.replay.nameplate	Nameplate2Impl3	com.moonsworth.lunar.client.replay.nameplate	HudPositionPacket	feature id + Gui2Extension2 (HUD anchor) + x/y; replay calls MixinCore9Extension.method27(anchor)/method17(x,y) on the mod named by the id
com.moonsworth.lunar.client.replay.nameplate.mixin.fishing	Nameplate2Impl3	com.moonsworth.lunar.client.replay.nameplate.mixin.fishing	SnapshotLoadPacket	UUID + boolean; method3 calls RewindFileReader.method8(uuid) which switches to "snapshots/<uuid>/packets.dat" and loads mods.json
com.moonsworth.lunar.client.replay.nameplate.mixin.gui	Nameplate2Impl3	com.moonsworth.lunar.client.replay.nameplate.mixin.gui	MouseInputPacket	MouseInputType CLICK/RELEASE/DRAG/SCROLL with coords and modifiers; replayed through GuiScreenContext alignment mapping into bridge$mouseClicked/Released/ClickMove/Scrolled
com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	Nameplate2Impl3	com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	SetSprintingPacket	sprinting boolean replayed onto Player.bridge$setSprinting; recorded by PlayerStateRecorder
com.moonsworth.lunar.client.replay.nameplate.mixin.nameplate	Nameplate2Impl3	com.moonsworth.lunar.client.replay.nameplate.mixin.nameplate	RawNetworkPacket	packet id + byte[] + PacketDirectionBridge + BridgeType2_2; replay rebuilds and handles the raw packet; recorded/described by PacketRecorder (name()/data() debug strings)
com.moonsworth.lunar.client.replay.nameplate	Nameplate2Impl4	com.moonsworth.lunar.client.replay.nameplate	DisconnectPacket	Type.DISCONNECT -> EventDisconnect.method2(true); recorded by RewindRecorder.method6 on EventDisconnect
com.moonsworth.lunar.client.replay.nameplate.mixin.fishing	Nameplate2Impl4	com.moonsworth.lunar.client.replay.nameplate.mixin.fishing	ResetLevelPacket	no payload; method3 calls RewindHandlers.method14() which clears the level and chat and re-creates the local session; emitted on resume
com.moonsworth.lunar.client.replay.nameplate.mixin.gui	Nameplate2Impl4	com.moonsworth.lunar.client.replay.nameplate.mixin.gui	ScreenAlignmentPacket	two GuiType values set GuiScreenContext.method17/18 (x/y anchoring used to map recorded mouse coords)
com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	Nameplate2Impl4	com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	AttackPacket	no payload; replay calls PlayerController.bridge$attack(); recorded by PlayerStateRecorder
com.moonsworth.lunar.client.replay.nameplate	Nameplate2Impl5	com.moonsworth.lunar.client.replay.nameplate	MouseWheelPacket	double delta replayed as EventMouseWheel on the event bus; method4 returns the negated packet; recorded from the EventMouseWheel handler
com.moonsworth.lunar.client.replay.nameplate.mixin.gui	Nameplate2Impl5	com.moonsworth.lunar.client.replay.nameplate.mixin.gui	OpenChatPacket	message string replayed via Screen.bridge$openChat(message); recorded from GuiStateRecorder
com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	Nameplate2Impl5	com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	UseItemPacket	EventUseItem slot; replay calls PlayerController.bridge$useItem(slot); recorded by PlayerStateRecorder
com.moonsworth.lunar.client.replay.nameplate	Nameplate2Impl6	com.moonsworth.lunar.client.replay.nameplate	ServerSettingOverridePacket	feature id + Type FORCE_ENABLED/FORCE_DISABLED/NONE; method3 applies SettingIntercept from OverrideSource.SERVER to the named mod
com.moonsworth.lunar.client.replay.nameplate.mixin.gui	Nameplate2Impl6	com.moonsworth.lunar.client.replay.nameplate.mixin.gui	OpenInventoryPacket	creative-tab index; replay calls bridge$setCreativeTab and opens the inventory; recorded from GuiStateRecorder
com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	Nameplate2Impl6	com.moonsworth.lunar.client.replay.nameplate.mixin.holograms	PickBlockPacket	no payload; replay calls Screen.bridge$pickBlock(); recorded from EventPickBlock
com.moonsworth.lunar.client.framework.nameplate	Nameplate2_2	com.moonsworth.lunar.client.framework.nameplate	CommandSuggestionProvider	@FunctionalInterface provide(CommandArguments, Nameplate3_2) called by ArgumentCommandNode/CommandArgumentParser and CommandCompleter to collect tab suggestions
com.moonsworth.lunar.client.replay.nameplate	Nameplate2_2	com.moonsworth.lunar.client.replay.nameplate	EntityOverridesCategory	DynamicCategory listing online players as SettingOptions keyed RewindSettingKeys("player", uuid); instantiated for the "entityOverrides" category
com.moonsworth.lunar.client.replay.rewindhandlers.nameplate	Nameplate2_2	com.moonsworth.lunar.client.replay.rewindhandlers.nameplate	RewindInteractionJsApi	DriverGuiExtension registered as the "rewindInteraction" JS provider; callbacks setAsCameraTarget/hide/nametag/skin write rewind setting overrides for the selected entity
com.moonsworth.lunar.client.framework.feature.armorstatus	Gui2Extension	com.moonsworth.lunar.client.framework.feature.armorstatus	ArmorStatusListMode	option "listMode"/"mode": VERTICAL("vertical")/HORIZONTAL("horizontal") selecting the armor-status list layout (Armorstatus.field19, ArmorStatusPanelRenderer)
com.moonsworth.lunar.client.framework.feature.mod.fishing	Gui2Extension	com.moonsworth.lunar.client.framework.feature.mod.fishing	FishingChatType	chat-message categories ISLAND_VISITOR/ALL/PARTY/GUILD/GUILD_OFFICER/DM_RECEIVE/DM_SEND/COOP with command + Rewindhandlers.Extension class + id; filters which chats a fishing command records
com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight.mixin	Gui2Extension	com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight.mixin	HighlightTextSide	option "textSide": ABOVE/LEFT/RIGHT/BELOW placement of a HighlightButton hover text (HighlightSerializer/HighlightButton)
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Gui2Extension	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	HeadBorderStyle	option "HeadBorderStyle": NONE/SINGLE_COLOR/CLASS_COLORS border colouring of map player heads (BettermapSettings.field38)
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate	Gui2Extension	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate	RouteRenderType	option "secretRoutesPathType": PARTICLES/LINE/ARROW/LINE_DASHED/ARROW_DASHED/NONE (ids routeRenderType*), SecretRoutePath setting of SkyblockDungeonRoutes
com.moonsworth.lunar.client.framework.feature.mod.highlight	Gui2Extension	com.moonsworth.lunar.client.framework.feature.mod.highlight	ContainerOverlayPreviewMode	option "skyblockContainerOverlayPreview": ALWAYS/RECENT(60s)/NEVER gating the container-overlay preview in NameplateComponent.method15
com.moonsworth.lunar.client.framework.feature.mod.impl.calculator.mixin	Gui2Extension	com.moonsworth.lunar.client.framework.feature.mod.impl.calculator.mixin	RaffleTaskFilter	option "raffleTaskFilter": ALL/EASY/MEDIUM/HARD (+RaffleTaskDifficulty) used by SkyblockRaffleTasksHud
com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	Gui2Extension	com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	DungeonWaypointBoxMode	option "boxMode"/"dungeonWaypointBoxMode": FULL("fullBlock")/HITBOX("blockHitbox") waypoint hitbox style (DungeonWaypointManager)
com.moonsworth.lunar.client.framework.feature.momentum	Gui2Extension	com.moonsworth.lunar.client.framework.feature.momentum	MomentumRounding	option "rounding": NEAREST/1Decimal/2Decimal/3Decimal DecimalFormats used by Momentum.format
com.moonsworth.lunar.client.framework.feature.potioncounter	Gui2Extension	com.moonsworth.lunar.client.framework.feature.potioncounter	PotionCounterType	option "potionCounter": POTION/SOUP counting mode of mod.combat.PotionCounter
com.moonsworth.lunar.client.framework.feature.pvpinfo	Gui2Extension	com.moonsworth.lunar.client.framework.feature.pvpinfo	PvpInfoTimePeriod	option "timePeriod": SESSION/DAY/WEEK/MONTH/YEAR/ALL_TIME stat window of PvpInfo
com.moonsworth.lunar.client.framework.feature.render	Gui2Extension	com.moonsworth.lunar.client.framework.feature.render	ParticleColorMode	option "colorMode": OVERLAY/RECOLOR for ParticleChildMod (referenced from the jar-built ParticleChanger); the only file in feature.render
com.moonsworth.lunar.client.framework.feature.snaplook	Gui2Extension	com.moonsworth.lunar.client.framework.feature.snaplook	SnaplookPerspective	THIRD("thirdPerson",1)/FORWARD("forward",2) selecting the snaplook camera perspective (mod.movement.Snaplook)
com.moonsworth.lunar.client.framework.feature.tiertagger	Gui2Extension	com.moonsworth.lunar.client.framework.feature.tiertagger	TiertaggerSource	option "tierSource": PVPTIERS_COM/MCTIERS_COM/SUBTIERS/TIERTESTS/PVPHQ each carrying its Tiertagger2_2 provider + name Codec
com.moonsworth.lunar.client.framework.feature.tiertagger.mixin	Gui2Extension	com.moonsworth.lunar.client.framework.feature.tiertagger.mixin	TiertaggerShownStatistic	option "shownStatistic": TIER/RANK deciding whether Tiertagger draws the tier badge or the rank
com.moonsworth.lunar.client.framework.feature.tps	Gui2Extension	com.moonsworth.lunar.client.framework.feature.tps	LevelHeadSource	option "levelHeadSource": NETWORK/BEDWARS/SKYWARS level-head data sources with query param and random nick-level range (HypixelMod.field23)
com.moonsworth.lunar.client.replay	Gui2Extension	com.moonsworth.lunar.client.replay	ReplayClipDuration	option "shadowRecordingTime": thirtySixtySeconds/oneTwoMinute/twoFourMinutes/fiveTenMinutes -> ms used by ReplayHandlerImpl.method1 (clip < 300000ms) and KeyframeRecorder
com.moonsworth.lunar.client.replay.rewindhandlers	Gui2Extension	com.moonsworth.lunar.client.replay.rewindhandlers	ReplayAudioChannels	option "channels": MONO/STEREO for the exported replay audio (ExportSettingsPanel.field20)
com.moonsworth.lunar.client.replay.rewindhandlers.fishing	Gui2Extension	com.moonsworth.lunar.client.replay.rewindhandlers.fishing	VideoResolution	option "videoResolution": 720p/1080p/1440p/4k/CUSTOM with width+height (GuiIterator.field7)
com.moonsworth.lunar.client.replay.rewindhandlers.rewindhandlersCore.mixin	Gui2Extension	com.moonsworth.lunar.client.replay.rewindhandlers.rewindhandlersCore.mixin	CameraFollowMode	option "follow": POSITION("positionOnly")/POS_ROT_BODY/POS_ROT_HEAD camera tracking detail (RewindHandlers3Updater.field12, RewindhandlersImpl)
com.moonsworth.lunar.client.replay.rewindhandlersNameplate	Gui2Extension	com.moonsworth.lunar.client.replay.rewindhandlersNameplate	VideoFormat	export container MP4/MKV/MOV/AVI/WEBP/WEBM with audio support + allowed VideoCodecs (RewindhandlersNameplate.field1)
com.moonsworth.lunar.client.config.option	GuiExtension	com.moonsworth.lunar.client.config.option	OptionDataProvider	the "data_provider" trait (OptionTraits.field10): Gui + JsonProvider that serializes an option for the settings UI; implemented by OptionJsonProvider, default methods add child categories
com.moonsworth.lunar.client.driver.core.gui	GuiExtension	com.moonsworth.lunar.client.driver.core.gui	ButtonProviderGui	abstract DriverGuiExtension holding LinkedHashMap<String,Gui2Task> (Gui2Task.toString leaks "ButtonProvider"): method1(task) registers, click-by-id runs task.method11()
com.moonsworth.lunar.client.driver.core.gui.mixin	GuiExtension	com.moonsworth.lunar.client.driver.core.gui.mixin	SpiritLeapMapBridge	@CallbackJS provider (setMap/sendButtonPress/sendMapPress/settings/showMap/setDefault) for the Spirit Leap map: floor + player list JSON with Lunar Plus colours
com.moonsworth.lunar.client.driver.core.gui.mixin.rewindhandlers	GuiExtension	com.moonsworth.lunar.client.driver.core.gui.mixin.rewindhandlers	WaypointGroupBridge	@CallbackJS provider (createWaypointGroup/delete/update/set) writing GuiHandler/Loader waypoint groups through Client mods
com.moonsworth.lunar.client.driver.gui	GuiExtension	com.moonsworth.lunar.client.driver.gui	ScreenshotUploadBridge	@CallbackJS("upload") provider that shares a screenshot via ScreenshotShareThread/AssetServerClient with a progress iterator
com.moonsworth.lunar.client.framework.nameplate	Alert2Iterator	com.moonsworth.lunar.client.framework.nameplate	SettingOverrideInterceptor	SettingIntercept<Framework7Extension,Boolean>: EnumMap<OverrideSource,SettingOverride<Boolean>> with CLIENT_CRITERIA predicates, broadcasts to the Apollo ModSettingModule and rewrites child options; instantiated by KeystrokeKey as the "intercept" trait
com.moonsworth.lunar.client.framework.nameplate	Alert2Iterator2	com.moonsworth.lunar.client.framework.nameplate	ModCategorySet	ModCategories impl wrapping Set.of(RewindhandlersType...): returns the categories a feature belongs to; the factory impl of ModCategories.method2/3
com.moonsworth.lunar.client.framework.nameplate	FeatureDetailsImpl	com.moonsworth.lunar.client.framework.nameplate	FeatureDetails	Framework8 + Translatable base details: language path "<id>.details", translated name/description/info, categories/aliases/authors, isVanilla/allowsKeybind; DynamicFeatureDetails extends it (Lombok toString leaks the old name only)
com.moonsworth.lunar.client.framework.nameplate	Framework4Handler	com.moonsworth.lunar.client.framework.nameplate	ConditionalChildBinding	ChildModBinding impl: parent Framework7Extension + optional BooleanSupplier visibility; the concrete binding created by ChildModBinding.method3/4/5
com.moonsworth.lunar.client.framework.nameplate	Nameplate3_2	com.moonsworth.lunar.client.framework.nameplate	CommandSuggestionBuilder	tab-suggestion accumulator interface over the input cursor: remaining text (method1), start index, add(String) and copy-with-start(int); implemented by Nameplate3Handler and consumed by RouteCommand
com.moonsworth.lunar.client.framework.nameplate	Nameplate3Handler	com.moonsworth.lunar.client.framework.nameplate	CommandSuggestionCollector	CommandSuggestionBuilder impl: holds input + start + List<String> of suggestions, add() skips duplicates of the remaining text, copy-with-start shares the list; built by CommandCompleter
com.moonsworth.lunar.client.framework.nameplate	Nameplate4Impl	com.moonsworth.lunar.client.framework.nameplate	CompoundBooleanOption	Framework3 combining several LightingExtension<Boolean> options with AND/OR semantics; isEnabled walks the OptionCombiner, setEnabled is a no-op
com.moonsworth.lunar.client.framework.nameplate	Nameplate4Impl2	com.moonsworth.lunar.client.framework.nameplate	FixedBooleanOption	Framework3 with no option (Optional.empty) and a fixed default: value restored by method2, mutable via setEnabled; used as a constant feature toggle
com.moonsworth.lunar.client.framework.nameplate	Nameplate4Impl22	com.moonsworth.lunar.client.framework.nameplate	ModDisplayData	ModDisplay impl: thumbnail icon pair + name Supplier, draws the centered name, persists seen/lastModified/favorite; built by ModDisplay.method(data)
com.moonsworth.lunar.client.framework.nameplate	Nameplate4Loader	com.moonsworth.lunar.client.framework.nameplate	DefaultedBooleanOption	EnabledOption + JsonConfigurable: creates/overrides the "enabled" LightingExtension with a default value and sets it as default (priority 100)
com.moonsworth.lunar.client.framework.nameplate	NameplateImpl	com.moonsworth.lunar.client.framework.nameplate	SuggestionCommandArguments	CommandArguments singleton whose every getter throws "no argument values are parsed during tab-complete suggestion gathering"; passed to suggestion providers by CommandCompleter
com.moonsworth.lunar.client.framework.nameplate	NameplateTask	com.moonsworth.lunar.client.framework.nameplate	FeatureLifecycleManager	ModLifecycle impl: tracks enabled state + DynamicCondition/ChildModBinding, registers/unregisters event listeners and GuiRewindhandlers, owns commands, child-mod lifecycle and on-enable/disable/once runnables
com.moonsworth.lunar.client.framework.nameplate	OptionContainerImpl	com.moonsworth.lunar.client.framework.nameplate	FeatureOptionContainer	OptionContainer impl: LinkedHashSet of LightingExtension options, nested/child collection, predicate walk, rebuild from a feature, load/save("options") with priority 200
com.moonsworth.lunar.client.framework.nameplate	PageStateImpl	com.moonsworth.lunar.client.framework.nameplate	MutablePageState	PageState impl: single mutable boolean with getter + fluent setter; built by PageState.method3
com.moonsworth.lunar.client.framework.nameplate	PanelPositionImpl	com.moonsworth.lunar.client.framework.nameplate	ConfigPanelPosition	PanelPosition + JsonConfigurable: x/y floats, panelIndex and reset flag with load/save("panelIndex"); built by PanelPosition.method9
